OID_,INTPTLAT,INTPTLON
379,40.798863565000033,-73.928122290999966
381,40.814658041000030,-73.932978532999982
386,40.859017336000079,-73.918520688999934
389,40.786747193000053,-73.936200457999973
390,40.771160997000038,-73.944342500999937
391,40.760847900000044,-73.953275273999964
392,40.748813156000040,-73.964181118999988
393,40.733591904000036,-73.970001009999976
394,40.721862587000032,-73.969374251999966
395,40.706544115000042,-73.984634366999956
396,40.703389782000045,-73.998586223999951
397,40.698051680000049,-74.018725425999946
398,40.716856357000040,-74.021394476999944
399,40.737966123000035,-74.015935053999954
400,40.759682491000035,-74.008413183999949
401,40.776424720000080,-73.996766415999957
402,40.790740538000080,-73.986696814999959
403,40.807482766000078,-73.974807406999957
404,40.827859521000050,-73.963337041999978
405,40.847380340000029,-73.952201004999949
406,40.867032172000052,-73.940802941999948
407,40.833013845000039,-73.934087696999939
408,40.847807483000054,-73.926998957999956
